Stato SDI;Categoria;Documento elettronico;Informazioni autofattura;Descrizione;Nome File;Numero documento;Data documento;Importo totale;Data caricamento;Pagato;Tag;Nome allegato;Cespite;Intrastat;Ritenuta
Accettato;Fattura di vendita;Si;--;CASA39 S.R.L.;2025-M02-017568-FATVE-000002.pdf;2;03/02/2025;3.782,00 €;03/02/2025;Incassata;;--;No;No;No
Accettato;Fattura di vendita;Si;--;CASA39 S.R.L.;2025-M08-017568-FATVE-000010.pdf;10;01/08/2025;4.602,00 €;01/08/2025;Incassata;;--;No;No;No
Accettato;Fattura di vendita;Si;--;CASA39 S.R.L.;2025-M12-017568-FATVE-000016.pdf;16;31/12/2025;3.802,00 €;31/12/2025;Non incassata;;--;No;No;No
Accettato;Fattura di vendita;Si;--;NOTEK SRL;2025-M12-017568-FATVE-000017.pdf;17;31/12/2025;452,00 €;31/12/2025;Non incassata;;--;No;No;No
Accettato;Fattura di vendita;Si;--;CASA39 S.R.L.;2025-M11-017568-FATVE-000014.pdf;14;05/11/2025;4.602,00 €;03/11/2025;Non incassata;;--;No;No;No
Accettato;Fattura di vendita;Si;--;NOTEK SRL;2025-M06-017568-FATVE-000008.pdf;8;24/06/2025;452,00 €;24/06/2025;Incassata;;--;No;No;No
Accettato;Fattura di vendita;Si;--;CASA39 S.R.L.;2025-M07-017568-FATVE-000009.pdf;9;03/07/2025;4.002,00 €;03/07/2025;Incassata;;--;No;No;No
Accettato;Fattura di vendita;Si;--;CASA39 S.R.L.;2025-M01-017568-FATVE-000001.pdf;1;03/01/2025;3.422,00 €;03/01/2025;Incassata;;--;No;No;No
Accettato;Fattura di vendita;Si;--;CASA39 S.R.L.;2025-M12-017568-FATVE-000015.pdf;15;01/12/2025;4.202,00 €;30/11/2025;Non incassata;;--;No;No;No
Accettato;Fattura di vendita;Si;--;NOTEK SRL;2025-M09-017568-FATVE-000012.pdf;12;24/09/2025;452,00 €;24/09/2025;Incassata;;--;No;No;No
Accettato;Fattura di vendita;Si;--;CASA39 S.R.L.;2025-M03-017568-FATVE-000003.pdf;3;03/03/2025;3.422,00 €;03/03/2025;Incassata;;--;No;No;No
Accettato;Fattura di vendita;Si;--;NOTEK SRL;2025-M03-017568-FATVE-000004.pdf;4;03/03/2025;602,00 €;03/03/2025;Incassata;;--;No;No;No
Accettato;Fattura di vendita;Si;--;CASA39 S.R.L.;2025-M04-017568-FATVE-000005.pdf;5;03/04/2025;3.692,00 €;03/04/2025;Incassata;;--;No;No;No
Accettato;Fattura di vendita;Si;--;CASA39 S.R.L.;2025-M05-017568-FATVE-000006.pdf;6;03/05/2025;3.602,00 €;03/05/2025;Incassata;;--;No;No;No
Accettato;Fattura di vendita;Si;--;CASA39 S.R.L.;2025-M06-017568-FATVE-000007.pdf;7;02/06/2025;3.782,00 €;02/06/2025;Incassata;;--;No;No;No
Accettato;Fattura di vendita;Si;--;CASA39 S.R.L.;2025-M09-017568-FATVE-000011.pdf;11;02/09/2025;3.102,00 €;02/09/2025;Incassata;;--;No;No;No
Accettato;Fattura di vendita;Si;--;CASA39 S.R.L.;2025-M10-017568-FATVE-000013.pdf;13;02/10/2025;3.602,00 €;02/10/2025;Incassata;;--;No;No;No
